event_time,update,os,source,try_cnt,success_cnt
2018-06-17,before,android,naver,528,207.0
2018-06-17,before,ios,email,60,23.0
2018-06-17,before,ios,facebook,83,11.0
2018-06-17,before,ios,google_plus,93,22.0
2018-06-17,before,ios,naver,316,41.0
2018-06-18,before,android,email,808,147.0
2018-06-18,before,android,facebook,203,50.0
2018-06-18,before,android,google_plus,725,177.0
2018-06-18,before,android,naver,1284,402.0
2018-06-18,before,ios,email,233,43.0
2018-06-18,before,ios,facebook,145,30.0
2018-06-18,before,ios,google_plus,190,46.0
2018-06-18,before,ios,naver,532,103.0
2018-06-19,before,android,email,731,130.0
2018-06-19,before,android,facebook,210,55.0
2018-06-19,before,android,google_plus,857,208.0
2018-06-19,before,android,naver,1593,470.0
2018-06-19,before,ios,email,183,46.0
2018-06-19,before,ios,facebook,136,25.0
2018-06-19,before,ios,google_plus,191,49.0
2018-06-19,before,ios,naver,595,97.0
2018-06-20,before,android,email,719,154.0
2018-06-20,before,android,facebook,227,55.0
2018-06-20,before,android,google_plus,886,205.0
2018-06-20,before,android,naver,1613,442.0
2018-06-20,before,ios,email,168,42.0
2018-06-20,before,ios,facebook,155,28.0
2018-06-20,before,ios,google_plus,204,48.0
2018-06-20,before,ios,naver,609,94.0
2018-06-21,before,android,email,675,145.0
2018-06-21,before,android,facebook,243,49.0
2018-06-21,before,android,google_plus,816,198.0
2018-06-21,before,android,naver,1601,428.0
2018-06-21,before,ios,email,207,46.0
2018-06-21,before,ios,facebook,151,24.0
2018-06-21,before,ios,google_plus,171,47.0
2018-06-21,before,ios,naver,544,91.0
2018-06-22,before,android,email,739,137.0
2018-06-22,before,android,facebook,211,41.0
2018-06-22,before,android,google_plus,812,181.0
2018-06-22,before,android,naver,1439,412.0
2018-06-22,before,ios,email,151,36.0
2018-06-22,before,ios,facebook,128,20.0
2018-06-22,before,ios,google_plus,168,34.0
2018-06-22,before,ios,naver,526,87.0
2018-06-23,before,android,email,514,96.0
2018-06-23,before,android,facebook,120,25.0
2018-06-23,before,android,google_plus,467,128.0
2018-06-23,before,android,naver,907,312.0
2018-06-23,before,ios,email,100,19.0
2018-06-23,before,ios,facebook,97,17.0
2018-06-23,before,ios,google_plus,124,25.0
2018-06-23,before,ios,naver,326,53.0
2018-06-24,before,android,email,393,81.0
2018-06-24,before,android,facebook,108,26.0
2018-06-24,before,android,google_plus,367,82.0
2018-06-24,before,android,naver,717,193.0
2018-06-24,before,ios,email,77,18.0
2018-06-24,before,ios,facebook,78,12.0
2018-06-24,before,ios,google_plus,91,19.0
2018-06-24,before,ios,naver,303,36.0
2018-06-25,before,android,email,697,138.0
2018-06-25,before,android,facebook,218,51.0
2018-06-25,before,android,google_plus,760,223.0
2018-06-25,before,android,naver,1402,456.0
2018-06-25,before,ios,email,163,41.0
2018-06-25,before,ios,facebook,132,24.0
2018-06-25,before,ios,google_plus,210,54.0
2018-06-25,before,ios,naver,513,105.0
2018-06-26,before,android,email,659,136.0
2018-06-26,before,android,facebook,220,59.0
2018-06-26,before,android,google_plus,766,178.0
2018-06-26,before,android,naver,1441,448.0
2018-06-26,before,ios,email,167,42.0
2018-06-26,before,ios,facebook,114,23.0
2018-06-26,before,ios,google_plus,184,43.0
2018-06-26,before,ios,naver,515,96.0
2018-06-27,before,android,email,701,134.0
2018-06-27,before,android,facebook,254,52.0
2018-06-27,before,android,google_plus,864,197.0
2018-06-27,before,android,naver,1713,425.0
2018-06-27,before,ios,email,195,49.0
2018-06-27,before,ios,facebook,136,18.0
2018-06-27,before,ios,google_plus,196,45.0
2018-06-27,before,ios,naver,651,119.0
2018-06-28,before,android,email,628,128.0
2018-06-28,before,android,facebook,208,58.0
2018-06-28,before,android,google_plus,795,209.0
2018-06-28,before,android,naver,1494,399.0
2018-06-28,before,ios,email,157,45.0
2018-06-28,before,ios,facebook,131,17.0
2018-06-28,before,ios,google_plus,172,46.0
2018-06-28,before,ios,naver,550,86.0
2018-06-29,before,android,email,726,131.0
2018-06-29,before,android,facebook,191,53.0
2018-06-29,before,android,google_plus,785,182.0
2018-06-29,before,android,naver,1388,401.0
2018-06-29,before,ios,email,187,42.0
2018-06-29,before,ios,facebook,131,24.0
2018-06-29,before,ios,google_plus,190,46.0
2018-06-29,before,ios,line,2,0
2018-06-29,before,ios,naver,471,83.0
2018-06-30,before,android,email,1478,197.0
2018-06-30,before,android,facebook,844,82.0
2018-06-30,before,android,google_plus,2306,276.0
2018-06-30,before,android,naver,7309,884.0
2018-06-30,before,ios,email,110,23.0
2018-06-30,before,ios,facebook,98,12.0
2018-06-30,before,ios,google_plus,88,22.0
2018-06-30,before,ios,naver,340,56.0
2018-07-01,before,android,email,495,98.0
2018-07-01,before,android,facebook,181,29.0
2018-07-01,before,android,google_plus,584,135.0
2018-07-01,before,android,naver,1134,228.0
2018-07-01,before,ios,email,122,24.0
2018-07-01,before,ios,facebook,96,13.0
2018-07-01,before,ios,google_plus,113,25.0
2018-07-01,before,ios,naver,362,58.0
2018-07-02,after,android,email,38,13.0
2018-07-02,after,android,facebook,54,5.0
2018-07-02,after,android,google_plus,71,20.0
2018-07-02,after,android,naver,183,38.0
2018-07-02,after,ios,email,20,8.0
2018-07-02,after,ios,facebook,9,4.0
2018-07-02,after,ios,google_plus,10,5.0
2018-07-02,after,ios,naver,32,12.0
2018-07-02,before,android,email,761,139.0
2018-07-02,before,android,facebook,252,54.0
2018-07-02,before,android,google_plus,923,197.0
2018-07-02,before,android,naver,1744,513.0
2018-07-02,before,ios,email,130,36.0
2018-07-02,before,ios,facebook,98,24.0
2018-07-02,before,ios,google_plus,160,45.0
2018-07-02,before,ios,naver,477,100.0
2018-07-03,after,android,email,678,206.0
2018-07-03,after,android,facebook,469,68.0
2018-07-03,after,android,google_plus,849,256.0
2018-07-03,after,android,naver,2023,514.0
2018-07-03,after,ios,email,184,59.0
2018-07-03,after,ios,facebook,122,30.0
2018-07-03,after,ios,google_plus,182,68.0
2018-07-03,after,ios,naver,498,136.0
2018-07-03,before,android,email,276,44.0
2018-07-03,before,android,facebook,67,13.0
2018-07-03,before,android,google_plus,207,70.0
2018-07-03,before,android,naver,345,125.0
2018-07-03,before,ios,email,44,17.0
2018-07-03,before,ios,facebook,28,9.0
2018-07-03,before,ios,google_plus,25,4.0
2018-07-03,before,ios,naver,74,13.0
2018-07-04,after,android,email,646,181.0
2018-07-04,after,android,facebook,449,74.0
2018-07-04,after,android,google_plus,849,241.0
2018-07-04,after,android,naver,2158,559.0
2018-07-04,after,ios,email,246,82.0
2018-07-04,after,ios,facebook,127,37.0
2018-07-04,after,ios,google_plus,176,53.0
2018-07-04,after,ios,naver,554,148.0
2018-07-04,before,android,email,170,34.0
2018-07-04,before,android,facebook,30,10.0
2018-07-04,before,android,google_plus,128,31.0
2018-07-04,before,android,naver,234,100.0
2018-07-04,before,ios,email,12,2.0
2018-07-04,before,ios,facebook,6,2.0
2018-07-04,before,ios,google_plus,11,4.0
2018-07-04,before,ios,naver,28,12.0
2018-07-05,after,android,email,580,177.0
2018-07-05,after,android,facebook,441,64.0
2018-07-05,after,android,google_plus,817,237.0
2018-07-05,after,android,naver,2230,565.0
2018-07-05,after,ios,email,176,52.0
2018-07-05,after,ios,facebook,134,35.0
2018-07-05,after,ios,google_plus,188,54.0
2018-07-05,after,ios,naver,539,136.0
2018-07-05,before,android,email,139,23.0
2018-07-05,before,android,facebook,30,3.0
2018-07-05,before,android,google_plus,96,14.0
2018-07-05,before,android,naver,171,73.0
2018-07-05,before,ios,email,6,3.0
2018-07-05,before,ios,facebook,6,3.0
2018-07-05,before,ios,google_plus,10,5.0
2018-07-05,before,ios,naver,25,7.0
2018-07-06,after,android,email,610,144.0
2018-07-06,after,android,facebook,363,58.0
2018-07-06,after,android,google_plus,803,220.0
2018-07-06,after,android,naver,2008,459.0
2018-07-06,after,ios,email,111,39.0
2018-07-06,after,ios,facebook,87,20.0
2018-07-06,after,ios,google_plus,134,39.0
2018-07-06,after,ios,naver,408,85.0
2018-07-06,before,android,email,92,16.0
2018-07-06,before,android,facebook,22,5.0
2018-07-06,before,android,google_plus,79,24.0
2018-07-06,before,android,naver,146,60.0
2018-07-06,before,ios,email,7,2.0
2018-07-06,before,ios,facebook,7,2.0
2018-07-06,before,ios,google_plus,7,2.0
2018-07-06,before,ios,naver,29,3.0
2018-07-07,after,android,email,459,110.0
2018-07-07,after,android,facebook,313,45.0
2018-07-07,after,android,google_plus,608,151.0
2018-07-07,after,android,naver,1498,381.0
2018-07-07,after,ios,email,75,22.0
2018-07-07,after,ios,facebook,54,15.0
2018-07-07,after,ios,google_plus,78,30.0
2018-07-07,after,ios,naver,217,65.0
2018-07-07,before,android,email,51,10.0
2018-07-07,before,android,facebook,11,2.0
2018-07-07,before,android,google_plus,52,8.0
2018-07-07,before,android,naver,78,36.0
2018-07-07,before,ios,email,5,1.0
2018-07-07,before,ios,facebook,3,0
2018-07-07,before,ios,google_plus,1,0
2018-07-07,before,ios,line,3,0
2018-07-07,before,ios,naver,7,3.0
2018-07-08,after,android,email,326,78.0
2018-07-08,after,android,facebook,251,16.0
2018-07-08,after,android,google_plus,496,116.0
2018-07-08,after,android,naver,1259,287.0
2018-07-08,after,ios,email,62,15.0
2018-07-08,after,ios,facebook,50,18.0
2018-07-08,after,ios,google_plus,71,31.0
2018-07-08,after,ios,naver,226,55.0
2018-07-08,before,android,email,46,7.0
2018-07-08,before,android,facebook,4,1.0
2018-07-08,before,android,google_plus,25,8.0
2018-07-08,before,android,naver,49,21.0
2018-07-08,before,ios,facebook,2,0
2018-07-08,before,ios,google_plus,5,2.0
2018-07-08,before,ios,naver,8,1.0
2018-07-09,after,android,email,541,171.0
2018-07-09,after,android,facebook,356,67.0
2018-07-09,after,android,google_plus,764,210.0
2018-07-09,after,android,naver,1943,535.0
2018-07-09,after,ios,email,149,50.0
2018-07-09,after,ios,facebook,85,28.0
2018-07-09,after,ios,google_plus,149,52.0
2018-07-09,after,ios,naver,443,98.0
2018-07-09,before,android,email,115,27.0
2018-07-09,before,android,facebook,21,4.0
2018-07-09,before,android,google_plus,77,21.0
2018-07-09,before,android,naver,139,52.0
2018-07-09,before,ios,email,14,2.0
2018-07-09,before,ios,facebook,4,1.0
2018-07-09,before,ios,google_plus,4,0
2018-07-09,before,ios,naver,22,7.0
2018-07-10,after,android,email,614,174.0
2018-07-10,after,android,facebook,363,45.0
2018-07-10,after,android,google_plus,767,194.0
2018-07-10,after,android,naver,1998,504.0
2018-07-10,after,ios,email,170,59.0
2018-07-10,after,ios,facebook,104,31.0
2018-07-10,after,ios,google_plus,154,55.0
2018-07-10,after,ios,naver,432,106.0
2018-07-10,before,android,email,98,20.0
2018-07-10,before,android,facebook,17,5.0
2018-07-10,before,android,google_plus,70,19.0
2018-07-10,before,android,naver,102,45.0
2018-07-10,before,ios,email,4,1.0
2018-07-10,before,ios,facebook,3,1.0
2018-07-10,before,ios,google_plus,5,0
2018-07-10,before,ios,naver,13,3.0
2018-07-11,after,android,email,589,169.0
